method,ticker,metric,paper_value,calculated_value,display_rounding_exact_match,input_evidence,verification_class,native_agent_pipeline_executed,paper_time_data_snapshot_shipped,paper_result_reproduction_credit
SMA,AAPL,AR,-5.60,-5.60289964823,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,AAPL,SR,-1.03,-1.02720620852,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,AAPL,MDD,7.57,7.57408037577,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,GOOGL,CR,8.23,8.23499908447,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,GOOGL,AR,12.76,12.7645730833,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,GOOGL,SR,2.90,2.89825155494,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,GOOGL,MDD,1.32,1.31642275577,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,TSLA,CR,6.31,6.30900268555,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,TSLA,AR,9.73,9.73249335767,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,TSLA,SR,0.68,0.684167597059,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
SMA,TSLA,MDD,11.43,11.4324014003,True,declared_or_conventional_rule_plus_pinned_current_yahoo_response,independent_baseline_recalculation_current_snapshot_not_paper_lineage,False,False,False
P1GPT,AAPL,CR,16.16,16.1599914551,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,AAPL,AR,25.53,25.5337719178,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,AAPL,SR,3.38,3.38771451092,False,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,AAPL,MDD,2.02,2.0226939818,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,GOOGL,CR,31.64,31.6370010376,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,GOOGL,AR,51.78,51.7834439799,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,GOOGL,SR,2.71,2.712861499,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,GOOGL,MDD,7.08,7.08407873372,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,TSLA,CR,22.79,22.7869934082,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,TSLA,AR,36.57,36.5651025617,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,TSLA,SR,2.31,2.31294206068,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
P1GPT,TSLA,MDD,6.50,6.50300241576,True,author_rendered_position_bars_plus_pinned_current_yahoo_response,author_output_result_verification_not_signal_regeneration,False,False,False
