table,printed_numeric_unit,printed_value,source_document_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
table_1_alphaevo500,33,0.81,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,34,0.961,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,35,0.73,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,36,0.76,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,37,0.992,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,38,0.87,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,39,0.90,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,40,0.971,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,41,0.86,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,42,0.91,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,43,0.977,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,44,0.83,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,45,0.87,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,46,0.978,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,47,0.82,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,48,0.88,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,49,0.940,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,50,0.77,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,51,0.90,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,52,0.923,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,53,0.76,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,54,0.78,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,55,0.979,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,56,0.97,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,57,0.97,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,58,0.977,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,59,0.93,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_1_alphaevo500,60,0.95,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,1,0.766,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,2,0.000,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,3,0.074,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,4,0.823,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,5,0.003,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,6,0.003,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,7,0.714,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,8,0.000,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,9,0.058,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,10,0.713,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,11,0.125,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,12,0.132,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,13,0.619,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,14,0.022,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,15,0.024,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,16,0.633,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,17,0.094,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,18,0.107,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,19,0.905,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,20,0.236,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,21,0.495,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,22,0.900,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,23,0.643,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,24,0.783,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,25,0.975,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,26,0.294,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,27,0.550,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,28,0.966,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,29,0.750,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,30,0.848,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,31,0.714,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,32,0.100,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,33,0.113,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,34,0.674,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,35,0.500,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,36,0.543,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,37,0.792,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,38,0.350,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,39,0.450,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,40,0.974,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,41,0.848,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,42,0.856,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,43,0.889,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,44,0.327,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,45,0.519,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,46,0.874,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,47,0.872,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,48,0.943,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,49,0.988,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,50,0.156,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,51,0.293,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,52,0.975,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,53,0.828,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,54,0.903,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,55,0.952,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,56,0.506,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,57,0.613,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,58,0.917,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,59,0.909,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,60,0.926,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,61,0.982,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,62,0.581,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,63,0.725,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,64,0.982,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,65,0.963,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_2_alpha158,66,0.994,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,1,-0.009,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,2,1.192,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,3,-0.195,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,4,0.013,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,5,1.977,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,6,-0.182,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,7,0.027,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,8,1.815,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,9,-0.192,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,10,0.064,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,11,2.046,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,12,-0.196,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,13,-0.158,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,14,0.587,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,15,-0.213,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,16,-0.027,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,17,1.532,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,18,-0.215,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,19,0.129,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,20,2.442,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
table_3_multifactor_portfolio,21,-0.176,True,False,False,False,"author AlphaEvo500 splits, exact evaluator/data snapshot, prompts, trajectories, checkpoints, portfolios, raw arrays, and paper experiment package are unrecovered"
