paper_version,paper_table,display_cell_id,row_index,row_label,result_position,metric,paper_value,native_reproduced_value,native_alpha_jungle_result_credit,paper_result_credit,status
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/MLP_RankIC,1,ToT | | | | |,5,MLP_RankIC,0.0435,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/MLP_AER,1,ToT | | | | |,6,MLP_AER,0.0945,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row1/MLP_IR,1,ToT | | | | |,7,MLP_IR,1.0348,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/LightGBM_IC,2,MCTS | | | | |,0,LightGBM_IC,0.0409,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/LightGBM_RankIC,2,MCTS | | | | |,1,LightGBM_RankIC,0.0374,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/LightGBM_AER,2,MCTS | | | | |,2,LightGBM_AER,0.0941,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/LightGBM_IR,2,MCTS | | | | |,3,LightGBM_IR,0.9775,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/MLP_IC,2,MCTS | | | | |,4,MLP_IC,0.0400,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/MLP_RankIC,2,MCTS | | | | |,5,MLP_RankIC,0.0376,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/MLP_AER,2,MCTS | | | | |,6,MLP_AER,0.0935,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row2/MLP_IR,2,MCTS | | | | |,7,MLP_IR,1.0010,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/LightGBM_IC,3,MCTS | | | | |,0,LightGBM_IC,0.0501,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/LightGBM_RankIC,3,MCTS | | | | |,1,LightGBM_RankIC,0.0476,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/LightGBM_AER,3,MCTS | | | | |,2,LightGBM_AER,0.1003,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/LightGBM_IR,3,MCTS | | | | |,3,LightGBM_IR,1.0106,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/MLP_IC,3,MCTS | | | | |,4,MLP_IC,0.0486,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/MLP_RankIC,3,MCTS | | | | |,5,MLP_RankIC,0.0462,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/MLP_AER,3,MCTS | | | | |,6,MLP_AER,0.1023,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row3/MLP_IR,3,MCTS | | | | |,7,MLP_IR,1.0462,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/LightGBM_IC,4,MCTS | | | | |,0,LightGBM_IC,0.0492,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/LightGBM_RankIC,4,MCTS | | | | |,1,LightGBM_RankIC,0.0457,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/LightGBM_AER,4,MCTS | | | | |,2,LightGBM_AER,0.1063,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/LightGBM_IR,4,MCTS | | | | |,3,LightGBM_IR,1.1062,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/MLP_IC,4,MCTS | | | | |,4,MLP_IC,0.0489,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/MLP_RankIC,4,MCTS | | | | |,5,MLP_RankIC,0.0462,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/MLP_AER,4,MCTS | | | | |,6,MLP_AER,0.1185,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row4/MLP_IR,4,MCTS | | | | |,7,MLP_IR,1.2556,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/LightGBM_IC,5,MCTS | | | | |,0,LightGBM_IC,0.0495,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/LightGBM_RankIC,5,MCTS | | | | |,1,LightGBM_RankIC,0.0462,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/LightGBM_AER,5,MCTS | | | | |,2,LightGBM_AER,0.1030,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/LightGBM_IR,5,MCTS | | | | |,3,LightGBM_IR,1.0331,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/MLP_IC,5,MCTS | | | | |,4,MLP_IC,0.0491,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/MLP_RankIC,5,MCTS | | | | |,5,MLP_RankIC,0.0465,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/MLP_AER,5,MCTS | | | | |,6,MLP_AER,0.1093,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row5/MLP_IR,5,MCTS | | | | |,7,MLP_IR,1.1773,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/LightGBM_IC,6,MCTS | | | | |,0,LightGBM_IC,0.0515,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/LightGBM_RankIC,6,MCTS | | | | |,1,LightGBM_RankIC,0.0479,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/LightGBM_AER,6,MCTS | | | | |,2,LightGBM_AER,0.1075,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/LightGBM_IR,6,MCTS | | | | |,3,LightGBM_IR,1.1121,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/MLP_IC,6,MCTS | | | | |,4,MLP_IC,0.0503,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/MLP_RankIC,6,MCTS | | | | |,5,MLP_RankIC,0.0478,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/MLP_AER,6,MCTS | | | | |,6,MLP_AER,0.1166,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row6/MLP_IR,6,MCTS | | | | |,7,MLP_IR,1.2127,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/LightGBM_IC,7,MCTS+FSA | | | | |,0,LightGBM_IC,0.0549,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/LightGBM_RankIC,7,MCTS+FSA | | | | |,1,LightGBM_RankIC,0.0512,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/LightGBM_AER,7,MCTS+FSA | | | | |,2,LightGBM_AER,0.1107,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/LightGBM_IR,7,MCTS+FSA | | | | |,3,LightGBM_IR,1.1792,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/MLP_IC,7,MCTS+FSA | | | | |,4,MLP_IC,0.0522,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/MLP_RankIC,7,MCTS+FSA | | | | |,5,MLP_RankIC,0.0503,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/MLP_AER,7,MCTS+FSA | | | | |,6,MLP_AER,0.1234,,False,False,official_published_cell_not_natively_reproduced
AAAI-26_final,Table_1_ablation,AAAI-26_final/Table_1_ablation/row7/MLP_IR,7,MCTS+FSA | | | | |,7,MLP_IR,1.2712,,False,False,official_published_cell_not_natively_reproduced
