route_id,source,coverage,query_family,query_text,completed_by_utc,raw_hit_count_preserved,disposition_record,notes
ACM-Q2,ACM Digital Library,inception_to_cutoff,Q2,"(LLM OR large language model OR agent*) AND (trading OR portfolio OR stock selection) AND (return OR Sharpe OR backtest OR live)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
ACM-Q3,ACM Digital Library,inception_to_cutoff,Q3,"(benchmark OR evaluation OR audit OR reproducib* OR artifact OR leakage) AND (alpha mining OR trading agent* OR quantitative investment)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
SSRN-Q1,SSRN,inception_to_cutoff,Q1,"(LLM OR large language model OR agent* OR multi-agent) AND (alpha mining OR factor discovery OR formulaic alpha OR strategy generation)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
SSRN-Q2,SSRN,inception_to_cutoff,Q2,"(LLM OR large language model OR agent*) AND (trading OR portfolio OR stock selection) AND (return OR Sharpe OR backtest OR live)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
SSRN-Q3,SSRN,inception_to_cutoff,Q3,"(benchmark OR evaluation OR audit OR reproducib* OR artifact OR leakage) AND (alpha mining OR trading agent* OR quantitative investment)",2026-08-02T23:59:59Z,no,system_registry.csv,"Conceptual query family applied using the provider interface."
SNOWBALL-ALPHABENCH,Citation chasing,inception_to_cutoff,snowball,"Backward and forward citations from AlphaBench",2026-08-02T23:59:59Z,no,system_registry.csv,"Seed route; candidate dispositions are preserved, but raw citing-record count is not."
SNOWBALL-ALPHAQT,Citation chasing,inception_to_cutoff,snowball,"Backward and forward citations from AlphaQT-Bench",2026-08-02T23:59:59Z,no,system_registry.csv,"Seed route; candidate dispositions are preserved, but raw citing-record count is not."
SNOWBALL-FINSABER,Citation chasing,inception_to_cutoff,snowball,"Backward and forward citations from FINSABER",2026-08-02T23:59:59Z,no,system_registry.csv,"Seed route; candidate dispositions are preserved, but raw citing-record count is not."
SNOWBALL-SURVEY,Citation chasing,inception_to_cutoff,snowball,"Backward and forward citations from the Agentic Trading survey",2026-08-02T23:59:59Z,no,system_registry.csv,"Seed route; candidate dispositions are preserved, but raw citing-record count is not."
DEDUPE-CROSSREF,Crossref,inception_to_cutoff,deduplication,"Resolve DOI, title, author, year, and publication manifestations",2026-08-02T23:59:59Z,no,primary_record_metadata.csv,"Metadata and canonical-work decisions are preserved."
DEDUPE-OPENALEX,OpenAlex,inception_to_cutoff,deduplication,"Resolve title, author, year, venue, and publication manifestations",2026-08-02T23:59:59Z,no,primary_record_metadata.csv,"Metadata and canonical-work decisions are preserved."
ARTIFACT-GITHUB,GitHub,record_linked_only,artifact_lookup,"Exact-title, author-linked, or publication-linked repository lookup",2026-08-02T23:59:59Z,no,system_registry.csv,"GitHub was not used as a scholarly-literature denominator."
