milestone_id,canonical_work_id,title,system_ids,status,common_evidence_class,common_jkp_evaluated,original_system_end_to_end_reproduced,prior_evidence_route,primary_cost_bps_one_way,full_months,full_cagr,full_annualized_sharpe,full_maximum_drawdown,average_traded_notional,jkp_excess_measure,jkp_excess_annualized,jkp_excess_t_hac,jkp_excess_p_two_sided,jkp_excess_ci_low_annualized,jkp_excess_ci_high_annualized,holm_rank_among_evaluable,holm_family_size,holm_adjusted_p,holm_reject_5pct,recipe_path,implementation_path,run_manifest_path,monthly_returns_path,metrics_path,verdict_path,evaluated_scope,closure_reason
M025,CensusArxiv250800554,ContestTrade: A Multi-Agent Trading System Based on Internal Contest Mechanism,SYS-CONTEST-TRADE,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M025_contesttrade/recipe.json,,,,,paper_runs/us_jkp_headline/M025_contesttrade/verdict.md,"No common-task return: the active CLI bypasses both contests and portfolio allocation; isolated components are incomplete or conflict with the paper, and no input, action, holding, return or evaluation path is released.","No public revision or fork connects paper-consistent Data and Research Contests to an executable portfolio. Repair would require inventing missing models, methods, allocator, reward, panel, backtester and output semantics."
M026,CensusArxiv250806312,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,SYS-CHAIN-OF-ALPHA,completed_partial,central_partial_adaptation,True,False,paper_only_underspecified,10.0,305,-0.0361304499259316,-0.2361570511874969,-0.7526002955516471,2.248680839892304,rolling_jkp_residual_mean,-0.0227803014306523,-0.9103684629590204,0.3626282238094692,-0.07182480613144249,0.026264203270137884,7,69,1.0,False,paper_runs/us_jkp_headline/M026_chain_of_alpha/recipe.json,scripts/run_chain_of_alpha_formula_milestone.py,paper_runs/us_jkp_headline/M026_chain_of_alpha/run_manifest.json,paper_runs/us_jkp_headline/M026_chain_of_alpha/primary_monthly_returns.csv,paper_runs/us_jkp_headline/M026_chain_of_alpha/metrics.csv,paper_runs/us_jkp_headline/M026_chain_of_alpha/verdict.md,"The only showcased formula executable without unavailable VWAP, Volume_Adjusted_Mean_Corr, using its exact five-period rank/correlation tree, paper-positive direction, JKP close/dollar-volume inputs and common monthly value-weighted deciles. This is not the withdrawn paper's dual-chain search or native portfolio.","The exact close/amount expression was frozen before its new outcome and produces a complete 305-month path. It is the strongest defensible source component while native search, selected pool, model, portfolio and result lineage remain unavailable."
M027,CensusArxiv250811152,AlphaAgents: Large Language Model based Multi-Agents for Equity Portfolio Constructions,SYS-ALPHA-AGENTS,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M027_alphaagents/recipe.json,,,,,paper_runs/us_jkp_headline/M027_alphaagents/verdict.md,"No common-task return: exact source-only February 2024 multi-agent holdings are recovered, but no causal repeatable selection rule exists for prior months; backcasting the future-selected list would violate no-lookahead.","The central portfolio is identifiable only as a one-off 2024 output. Without agent code, inputs and historical recommendations, a 305-month path requires direct future-selection leakage or an invented formation rule."
M028,CensusArxiv250816334,From Flat to Hierarchical: Evolving Tree-structured Thoughts for Fine-grained Alpha Mining,SYS-TREEVO,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M028_treevo/recipe.json,,,,,paper_runs/us_jkp_headline/M028_treevo/verdict.md,"No common-task return: prompt templates, operators and metric equations are public, but no implementation, seed tree, thought-to-code prompt, generated factor, search trajectory, score, holding or return path exists.","The paper releases zero selected factor expressions. Without an executable factor or formation score, every common-task route requires creating the central search output rather than adapting it."
M029,CensusArxiv250817565,TradingGroup: A Multi-Agent Trading System with Self-Reflection and Data-Synthesis,SYS-TRADING-GROUP,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M029_tradinggroup/recipe.json,,,,,paper_runs/us_jkp_headline/M029_tradinggroup/verdict.md,"No common-task TradingGroup return: exact FINSABER inputs and 156/156 baseline cells reproduce, but the five-agent source, checkpoint, trajectories, prompts, actions and portfolio path are unavailable; baseline success is tracked separately.","The complete baseline experiment does not generate TradingGroup decisions. Without the fine-tuned checkpoint, trajectories, agent implementation and execution ledger, every common-task strategy would substitute a comparator or invent the central policy."
M030,CensusArxiv250905080,MM-ARC: Multimodal Adaptive Routing of Capital with Robustness-Audited Strategy Pools,SYS-MM-DREX,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M030_mm_arc/recipe.json,,,,,paper_runs/us_jkp_headline/M030_mm_arc/verdict.md,No common-task return: the substantial v3 release passes 111 tests but every trained adapter/router and both strategy-history tables remain unavailable LFS payloads; tests use doubles and the acceptance replay is not the full benchmark.,"The missing six paper-specific payloads are precisely the objects required to generate strategy decisions. Without them, artifact verification and model execution fail closed, and no bounded adapter can recover the trained policy."
M031,CensusArxiv250909995,QuantHarness: Price-Driven Multi-Agent LLMs for High-Frequency Trading,SYS-QUANT-AGENT-HFT,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M031_quantharness/recipe.json,,,,,paper_runs/us_jkp_headline/M031_quantharness/verdict.md,"No common-task return: the paper's mandatory price-driven multi-agent decision needs a timestamped 45-bar intraday OHLC path, chart reasoning, and an identified LLM policy that monthly JKP and the release do not provide.","An honest monthly U.S./JKP run would require fabricating opening prices, changing 1h/4h bars and three-candle execution into a multi-year/monthly mechanism, and choosing an undisclosed LLM policy. Those changes define a new strategy rather than an adapter."
M032,CensusArxiv250911420,Trading-R1: Financial Trading with LLM Reasoning via Reinforcement Learning,SYS-TRADING-R1,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M032_trading_r1/recipe.json,,,,,paper_runs/us_jkp_headline/M032_trading_r1/verdict.md,"No common-task return: the headline object is a three-stage SFT/RFT/self-distilled Qwen3-4B policy, but the official release and all audited forks contain no code, checkpoint, training data, action mapping, predictions, trades, or backtest paths.","The learned policy is unreleased and underidentified: Tauric-TR1-DB, checkpoints, training/runtime code, reward parsers, action weights, portfolio rules, and per-date outputs are absent. Paper equations describe targets/rewards rather than an executable strategy."
M033,CensusArxiv251001664,GuruAgents: Emulating Wise Investors with Prompt-Guided LLM Agents,SYS-GURU-AGENTS,completed_partial,central_partial_adaptation,True,False,public_code_available,10.0,305,0.0793153139103441,0.5321978023358448,-0.5134746630857945,0.1379046429437106,rolling_jkp_residual_mean,0.0064754578361754,1.3643731887906898,0.1724501417591505,-0.0028267362017773932,0.015777651874128194,1,69,1.0,False,paper_runs/us_jkp_headline/M033_guruagents_buffett/recipe.json,scripts/run_guruagents_buffett_milestone.py,paper_runs/us_jkp_headline/M033_guruagents_buffett/run_manifest.json,paper_runs/us_jkp_headline/M033_guruagents_buffett/primary_monthly_returns.csv,paper_runs/us_jkp_headline/M033_guruagents_buffett/metrics.csv,paper_runs/us_jkp_headline/M033_guruagents_buffett/verdict.md,"Paper-highlighted Buffett sleeve; official deterministic prompt formula with fourteen direct/algebraic JKP mappings, two explicit omissions, monthly top-1,000 U.S. formation, continuous score-proportional long-only weights, common costs and rolling JKP133 attribution.","The source-anchored partial produced a complete 305-month path. At 10 bp it has 7.93% CAGR and 0.532 Sharpe, but its +0.65% annual JKP133 residual is insignificant (HAC t=1.364, p=0.1725) and adverse missing-return sensitivity is materially weaker."
M034,CensusArxiv251004643,QuantAgents: Towards Multi-agent Financial System via Simulated Trading,SYS-QUANT-AGENTS,closed_not_evaluable,not_evaluable,False,False,public_code_available,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M034_quantagents/recipe.json,,,,,paper_runs/us_jkp_headline/M034_quantagents/verdict.md,"No common-task return: the central four-agent meeting/memory system learns an adaptive dual-reward policy, but the release is a static site and the strategy pool, risk weights, prompts, tools, memories, policy state, data, actions and execution paths are not identified.","No executable or uniquely reconstructable mapping from formation data to stock weights exists. Supplying the strategy grammar, risk score, policy/reward histories, action parser, point-in-time inputs and execution accounting would create a new system rather than adapt the disclosed one."
M035,CensusArxiv251004787,Trade in Minutes! Rationality-Driven Agentic System for Quantitative Financial Trading,SYS-TRADE-IN-MINUTES,closed_not_evaluable,not_evaluable,False,False,paper_only_underspecified,,,,,,,,,,,,,,,,,paper_runs/us_jkp_headline/M035_timi/recipe.json,,,,,paper_runs/us_jkp_headline/M035_timi/verdict.md,"No common-task return: TiMi's central object is an agent-generated, simulation-optimized minute-level grid bot, but no parameterized bot, prompts, feedback history, point-in-time input, execution record, or currently recoverable official supplement is available.","Every value controlling pair selection, grid prices, quantities, risk scaling and exits is undisclosed, as are the generated bot and optimization lineage. Monthly JKP cannot represent the intraday funding/order/stop state, so any run would be a newly designed strategy."
