paper_table,item,metric,statistic,display_cell_id,unique_measurement_id,paper_value,native_reproduced_value,status,paper_result_credit
Table 2 main MLE-Bench,OpenHands/GPT-4o,valid_submission,mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/valid_submission/mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/valid_submission/mean,52,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,valid_submission,sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/valid_submission/sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/valid_submission/sem,3.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,above_median,mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/above_median/mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/above_median/mean,7.1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,above_median,sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/above_median/sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/above_median/sem,1.7,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,bronze,mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/bronze/mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/bronze/mean,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,bronze,sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/bronze/sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/bronze/sem,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,silver,mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/silver/mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/silver/mean,1.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,silver,sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/silver/sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/silver/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,gold,mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/gold/mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/gold/mean,2.7,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,gold,sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/gold/sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/gold/sem,1.1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,any_medal,mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/any_medal/mean,Table 2 main MLE-Bench/OpenHands/GPT-4o/any_medal/mean,4.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,OpenHands/GPT-4o,any_medal,sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/any_medal/sem,Table 2 main MLE-Bench/OpenHands/GPT-4o/any_medal/sem,1.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,valid_submission,mean,Table 2 main MLE-Bench/AIDE/GPT-4o/valid_submission/mean,Table 2 main MLE-Bench/AIDE/GPT-4o/valid_submission/mean,54.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,valid_submission,sem,Table 2 main MLE-Bench/AIDE/GPT-4o/valid_submission/sem,Table 2 main MLE-Bench/AIDE/GPT-4o/valid_submission/sem,1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,above_median,mean,Table 2 main MLE-Bench/AIDE/GPT-4o/above_median/mean,Table 2 main MLE-Bench/AIDE/GPT-4o/above_median/mean,14.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,above_median,sem,Table 2 main MLE-Bench/AIDE/GPT-4o/above_median/sem,Table 2 main MLE-Bench/AIDE/GPT-4o/above_median/sem,0.7,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,bronze,mean,Table 2 main MLE-Bench/AIDE/GPT-4o/bronze/mean,Table 2 main MLE-Bench/AIDE/GPT-4o/bronze/mean,1.6,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,bronze,sem,Table 2 main MLE-Bench/AIDE/GPT-4o/bronze/sem,Table 2 main MLE-Bench/AIDE/GPT-4o/bronze/sem,0.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,silver,mean,Table 2 main MLE-Bench/AIDE/GPT-4o/silver/mean,Table 2 main MLE-Bench/AIDE/GPT-4o/silver/mean,2.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,silver,sem,Table 2 main MLE-Bench/AIDE/GPT-4o/silver/sem,Table 2 main MLE-Bench/AIDE/GPT-4o/silver/sem,0.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,gold,mean,Table 2 main MLE-Bench/AIDE/GPT-4o/gold/mean,Table 2 main MLE-Bench/AIDE/GPT-4o/gold/mean,5,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,gold,sem,Table 2 main MLE-Bench/AIDE/GPT-4o/gold/sem,Table 2 main MLE-Bench/AIDE/GPT-4o/gold/sem,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,any_medal,mean,Table 2 main MLE-Bench/AIDE/GPT-4o/any_medal/mean,Table 2 main MLE-Bench/AIDE/GPT-4o/any_medal/mean,8.7,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/GPT-4o,any_medal,sem,Table 2 main MLE-Bench/AIDE/GPT-4o/any_medal/sem,Table 2 main MLE-Bench/AIDE/GPT-4o/any_medal/sem,0.5,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,valid_submission,mean,Table 2 main MLE-Bench/AIDE/o1-preview/valid_submission/mean,Table 2 main MLE-Bench/AIDE/o1-preview/valid_submission/mean,82.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,valid_submission,sem,Table 2 main MLE-Bench/AIDE/o1-preview/valid_submission/sem,Table 2 main MLE-Bench/AIDE/o1-preview/valid_submission/sem,1.1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,above_median,mean,Table 2 main MLE-Bench/AIDE/o1-preview/above_median/mean,Table 2 main MLE-Bench/AIDE/o1-preview/above_median/mean,29.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,above_median,sem,Table 2 main MLE-Bench/AIDE/o1-preview/above_median/sem,Table 2 main MLE-Bench/AIDE/o1-preview/above_median/sem,1.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,bronze,mean,Table 2 main MLE-Bench/AIDE/o1-preview/bronze/mean,Table 2 main MLE-Bench/AIDE/o1-preview/bronze/mean,3.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,bronze,sem,Table 2 main MLE-Bench/AIDE/o1-preview/bronze/sem,Table 2 main MLE-Bench/AIDE/o1-preview/bronze/sem,0.5,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,silver,mean,Table 2 main MLE-Bench/AIDE/o1-preview/silver/mean,Table 2 main MLE-Bench/AIDE/o1-preview/silver/mean,4.1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,silver,sem,Table 2 main MLE-Bench/AIDE/o1-preview/silver/sem,Table 2 main MLE-Bench/AIDE/o1-preview/silver/sem,0.6,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,gold,mean,Table 2 main MLE-Bench/AIDE/o1-preview/gold/mean,Table 2 main MLE-Bench/AIDE/o1-preview/gold/mean,9.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,gold,sem,Table 2 main MLE-Bench/AIDE/o1-preview/gold/sem,Table 2 main MLE-Bench/AIDE/o1-preview/gold/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,any_medal,mean,Table 2 main MLE-Bench/AIDE/o1-preview/any_medal/mean,Table 2 main MLE-Bench/AIDE/o1-preview/any_medal/mean,16.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,AIDE/o1-preview,any_medal,sem,Table 2 main MLE-Bench/AIDE/o1-preview/any_medal/sem,Table 2 main MLE-Bench/AIDE/o1-preview/any_medal/sem,1.1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,valid_submission,mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/valid_submission/mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/valid_submission/mean,93.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,valid_submission,sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/valid_submission/sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/valid_submission/sem,1.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,above_median,mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/above_median/mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/above_median/mean,44.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,above_median,sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/above_median/sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/above_median/sem,1.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,bronze,mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/bronze/mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/bronze/mean,4.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,bronze,sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/bronze/sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/bronze/sem,0.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,silver,mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/silver/mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/silver/mean,7.6,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,silver,sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/silver/sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/silver/sem,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,gold,mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/gold/mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/gold/mean,17.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,gold,sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/gold/sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/gold/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,any_medal,mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/any_medal/mean,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/any_medal/mean,29.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/Deepseek-R1,any_medal,sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/any_medal/sem,Table 2 main MLE-Bench/ML-Master/Deepseek-R1/any_medal/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,valid_submission,mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/valid_submission/mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/valid_submission/mean,98.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,valid_submission,sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/valid_submission/sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/valid_submission/sem,0.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,above_median,mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/above_median/mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/above_median/mean,25.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,above_median,sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/above_median/sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/above_median/sem,1.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,bronze,mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/bronze/mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/bronze/mean,5.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,bronze,sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/bronze/sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/bronze/sem,1.6,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,silver,mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/silver/mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/silver/mean,3.1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,silver,sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/silver/sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/silver/sem,1.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,gold,mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/gold/mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/gold/mean,9.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,gold,sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/gold/sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/gold/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,any_medal,mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/any_medal/mean,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/any_medal/mean,18.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/o3+GPT-4.1,any_medal,sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/any_medal/sem,Table 2 main MLE-Bench/ML-Master/o3+GPT-4.1/any_medal/sem,1.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,valid_submission,mean,Table 2 main MLE-Bench/ML-Master/GPT-5/valid_submission/mean,Table 2 main MLE-Bench/ML-Master/GPT-5/valid_submission/mean,85.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,valid_submission,sem,Table 2 main MLE-Bench/ML-Master/GPT-5/valid_submission/sem,Table 2 main MLE-Bench/ML-Master/GPT-5/valid_submission/sem,3.5,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,above_median,mean,Table 2 main MLE-Bench/ML-Master/GPT-5/above_median/mean,Table 2 main MLE-Bench/ML-Master/GPT-5/above_median/mean,26.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,above_median,sem,Table 2 main MLE-Bench/ML-Master/GPT-5/above_median/sem,Table 2 main MLE-Bench/ML-Master/GPT-5/above_median/sem,1.6,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,bronze,mean,Table 2 main MLE-Bench/ML-Master/GPT-5/bronze/mean,Table 2 main MLE-Bench/ML-Master/GPT-5/bronze/mean,4.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,bronze,sem,Table 2 main MLE-Bench/ML-Master/GPT-5/bronze/sem,Table 2 main MLE-Bench/ML-Master/GPT-5/bronze/sem,1.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,silver,mean,Table 2 main MLE-Bench/ML-Master/GPT-5/silver/mean,Table 2 main MLE-Bench/ML-Master/GPT-5/silver/mean,3.1,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,silver,sem,Table 2 main MLE-Bench/ML-Master/GPT-5/silver/sem,Table 2 main MLE-Bench/ML-Master/GPT-5/silver/sem,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,gold,mean,Table 2 main MLE-Bench/ML-Master/GPT-5/gold/mean,Table 2 main MLE-Bench/ML-Master/GPT-5/gold/mean,9.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,gold,sem,Table 2 main MLE-Bench/ML-Master/GPT-5/gold/sem,Table 2 main MLE-Bench/ML-Master/GPT-5/gold/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,any_medal,mean,Table 2 main MLE-Bench/ML-Master/GPT-5/any_medal/mean,Table 2 main MLE-Bench/ML-Master/GPT-5/any_medal/mean,16.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,ML-Master/GPT-5,any_medal,sem,Table 2 main MLE-Bench/ML-Master/GPT-5/any_medal/sem,Table 2 main MLE-Bench/ML-Master/GPT-5/any_medal/sem,1.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,valid_submission,mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/valid_submission/mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/valid_submission/mean,94.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,valid_submission,sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/valid_submission/sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/valid_submission/sem,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,above_median,mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/above_median/mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/above_median/mean,44.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,above_median,sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/above_median/sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/above_median/sem,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,bronze,mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/bronze/mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/bronze/mean,6.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,bronze,sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/bronze/sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/bronze/sem,0.9,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,silver,mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/silver/mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/silver/mean,7.5,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,silver,sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/silver/sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/silver/sem,1.2,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,gold,mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/gold/mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/gold/mean,16,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,gold,sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/gold/sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/gold/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,any_medal,mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/any_medal/mean,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/any_medal/mean,29.7,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/o3+GPT-4.1,any_medal,sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/any_medal/sem,Table 2 main MLE-Bench/R&D-Agent/o3+GPT-4.1/any_medal/sem,0.4,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,valid_submission,mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/valid_submission/mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/valid_submission/mean,96,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,valid_submission,sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/valid_submission/sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/valid_submission/sem,0,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,above_median,mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/above_median/mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/above_median/mean,45.3,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,above_median,sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/above_median/sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/above_median/sem,0,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,bronze,mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/bronze/mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/bronze/mean,6.7,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,bronze,sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/bronze/sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/bronze/sem,1.5,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,silver,mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/silver/mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/silver/mean,12,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,silver,sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/silver/sem,Table 2 main MLE-Bench/R&D-Agent/GPT-5/silver/sem,0.8,,not_reproduced_no_released_paper_run_artifact,False
Table 2 main MLE-Bench,R&D-Agent/GPT-5,gold,mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/gold/mean,Table 2 main MLE-Bench/R&D-Agent/GPT-5/gold/mean,16.4,,not_reproduced_no_released_paper_run_artifact,False
