dimension,paper_or_source_specification,assessment,severity,replication_implication
sentiment portfolio inclusion,paper both excludes and says it was constructed,conflict,blocking,cannot_exactly_reproduce
risk-neutral memberships,three portfolios recovered from commented source,specified,major,requires_interpretation_or_external_source
risk-averse memberships,three portfolios recovered from commented source,specified,major,requires_interpretation_or_external_source
rebalancing,single initialization implied; drift/rebalance treatment unstated,partial,blocking,cannot_exactly_reproduce
execution timing/price,not stated,missing,blocking,cannot_exactly_reproduce
transaction costs/slippage,not stated,missing,blocking,cannot_exactly_reproduce
dividends/corporate-action adjustment,not stated,missing,blocking,cannot_exactly_reproduce
daily portfolio return aggregation,equal weights stated; implementation absent,partial,blocking,cannot_exactly_reproduce
cumulative return formula,not stated for Figures 6--8,missing,blocking,cannot_exactly_reproduce
overall Sharpe formula,mean return minus risk-free rate over standard deviation,specified,major,requires_interpretation_or_external_source
rolling Sharpe formula,sample standard deviation equation supplied,specified,major,requires_interpretation_or_external_source
rolling window length,symbol w only; value absent,missing,blocking,cannot_exactly_reproduce
return frequency,plots appear daily; not stated in metric definition,partial,blocking,cannot_exactly_reproduce
risk-free source series,one-month Treasury named; exact series/provider absent,partial,blocking,cannot_exactly_reproduce
risk-free rate conversion,periodicity conversion not stated,missing,blocking,cannot_exactly_reproduce
Sharpe annualization,no sqrt(252) factor in printed Sharpe equations,specified,major,requires_interpretation_or_external_source
raw equity prices,not released,missing,blocking,cannot_exactly_reproduce
raw portfolio return paths,not released,missing,blocking,cannot_exactly_reproduce
raw rolling Sharpe paths,not released,missing,blocking,cannot_exactly_reproduce
performance plot values,20 line series released only as seven raster panels,missing,blocking,cannot_exactly_reproduce
agent recommendations,source exposes final membership lists but not per-agent messages/decisions,partial,blocking,cannot_exactly_reproduce
debate histories,claimed as supplementary output but not attached to record,missing,blocking,cannot_exactly_reproduce
human review protocol,human review claimed; raters/instructions/outcomes absent,missing,blocking,cannot_exactly_reproduce
RAG evaluation raw results,not released,missing,blocking,cannot_exactly_reproduce
repeated trials/random seeds,none stated,missing,blocking,cannot_exactly_reproduce
uncertainty/statistical testing,none reported,missing,blocking,cannot_exactly_reproduce
community implementations,five unaffiliated repositories found; all materially diverge,partial,blocking,cannot_exactly_reproduce
local proxy relation,"two M0 narrative translations invent factor formulas, monthly deciles, weights, and a long-short return stream",partial,blocking,cannot_exactly_reproduce
