paper_table,category,model,asset,metric,paper_value,native_reproduced_value,status,paper_result_credit
Table 3,SLM,GPT-4.1-nano,NVDA,HR_pct,56.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,NVDA,MDD_pct,3.82,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,AAPL,CR_pct,0.44,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,AAPL,SR,-0.31,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,AAPL,HR_pct,51.9,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,AAPL,MDD_pct,3.52,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,MSFT,CR_pct,-0.01,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,MSFT,SR,-0.95,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,MSFT,HR_pct,39.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-nano,MSFT,MDD_pct,1.60,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,AMZN,CR_pct,-4.88,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,AMZN,SR,-2.34,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,AMZN,HR_pct,40.7,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,AMZN,MDD_pct,6.20,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,META,CR_pct,-3.07,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,META,SR,-1.69,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,META,HR_pct,47.8,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,META,MDD_pct,5.19,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,SPY,CR_pct,0.04,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,SPY,SR,-1.23,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,SPY,HR_pct,47.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-nano,SPY,MDD_pct,1.38,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,NVDA,CR_pct,0.29,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,NVDA,SR,-0.53,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,NVDA,HR_pct,58.8,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,NVDA,MDD_pct,2.47,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,AAPL,CR_pct,-2.14,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,AAPL,SR,-1.92,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,AAPL,HR_pct,40.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,AAPL,MDD_pct,3.69,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,MSFT,CR_pct,-2.34,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,MSFT,SR,-1.74,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,MSFT,HR_pct,27.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,SLM,GPT-4.1-mini,MSFT,MDD_pct,4.00,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,AMZN,CR_pct,2.24,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,AMZN,SR,0.81,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,AMZN,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,AMZN,MDD_pct,2.01,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,META,CR_pct,1.21,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,META,SR,0.16,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,META,HR_pct,56.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,META,MDD_pct,1.70,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,SPY,CR_pct,-1.03,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,SPY,SR,-2.47,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,SPY,HR_pct,43.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,SLM,GPT-4.1-mini,SPY,MDD_pct,1.44,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,NVDA,CR_pct,3.15,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,NVDA,SR,0.85,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,NVDA,HR_pct,65.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,NVDA,MDD_pct,2.81,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,AAPL,CR_pct,4.02,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,AAPL,SR,1.24,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,AAPL,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,AAPL,MDD_pct,2.89,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,MSFT,CR_pct,2.30,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,MSFT,SR,0.97,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,MSFT,HR_pct,63.9,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,GPT-4.1,MSFT,MDD_pct,1.92,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,AMZN,CR_pct,3.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,AMZN,SR,1.15,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,AMZN,HR_pct,64.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,AMZN,MDD_pct,2.44,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,META,CR_pct,5.63,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,META,SR,1.59,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,META,HR_pct,68.8,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,META,MDD_pct,1.91,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,SPY,CR_pct,0.35,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,SPY,SR,-0.74,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,SPY,HR_pct,43.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,GPT-4.1,SPY,MDD_pct,1.21,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,NVDA,CR_pct,0.65,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,NVDA,SR,-0.16,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,NVDA,HR_pct,62.2,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,NVDA,MDD_pct,2.78,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,AAPL,CR_pct,6.73,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,AAPL,SR,1.78,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,AAPL,HR_pct,63.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,AAPL,MDD_pct,2.40,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,MSFT,CR_pct,1.58,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,MSFT,SR,0.54,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,MSFT,HR_pct,58.1,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-3.3,MSFT,MDD_pct,1.59,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,AMZN,CR_pct,-0.89,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,AMZN,SR,-0.61,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,AMZN,HR_pct,58.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,AMZN,MDD_pct,6.02,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,META,CR_pct,3.21,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,META,SR,1.01,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,META,HR_pct,62.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,META,MDD_pct,2.55,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,SPY,CR_pct,1.27,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,SPY,SR,0.27,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,SPY,HR_pct,64.7,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-3.3,SPY,MDD_pct,1.35,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,NVDA,CR_pct,-1.96,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,NVDA,SR,-1.64,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,NVDA,HR_pct,31.8,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,NVDA,MDD_pct,2.90,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,AAPL,CR_pct,2.03,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,AAPL,SR,0.58,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,AAPL,HR_pct,59.4,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,AAPL,MDD_pct,3.21,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,MSFT,CR_pct,-0.29,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,MSFT,SR,-1.33,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,MSFT,HR_pct,36.8,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,LLaMA-Scout,MSFT,MDD_pct,1.44,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,AMZN,CR_pct,-3.47,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,AMZN,SR,-1.48,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,AMZN,HR_pct,35.7,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,AMZN,MDD_pct,5.95,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,META,CR_pct,3.51,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,META,SR,0.92,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,META,HR_pct,53.1,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,META,MDD_pct,2.78,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,SPY,CR_pct,-1.34,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,SPY,SR,-3.36,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,SPY,HR_pct,36.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,LLaMA-Scout,SPY,MDD_pct,1.65,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,NVDA,CR_pct,1.74,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,NVDA,SR,0.27,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,NVDA,HR_pct,64.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,NVDA,MDD_pct,2.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,AAPL,CR_pct,0.62,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,AAPL,SR,-0.12,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,AAPL,HR_pct,33.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,AAPL,MDD_pct,3.39,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,MSFT,CR_pct,2.14,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,MSFT,SR,1.29,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,MSFT,HR_pct,65.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,LLM,Qwen3-32B,MSFT,MDD_pct,0.82,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,AMZN,CR_pct,5.61,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,AMZN,SR,2.12,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,AMZN,HR_pct,64.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,AMZN,MDD_pct,1.89,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,META,CR_pct,-1.23,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,META,SR,-0.58,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,META,HR_pct,46.2,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,META,MDD_pct,6.61,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,SPY,CR_pct,2.32,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,SPY,SR,1.87,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,SPY,HR_pct,70.4,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,LLM,Qwen3-32B,SPY,MDD_pct,0.65,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,NVDA,CR_pct,-0.79,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,NVDA,SR,-0.66,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,NVDA,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,NVDA,MDD_pct,3.66,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,AAPL,CR_pct,0.68,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,AAPL,SR,-0.13,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,AAPL,HR_pct,55.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,AAPL,MDD_pct,4.78,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,MSFT,CR_pct,-0.38,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,MSFT,SR,-1.01,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,MSFT,HR_pct,33.3,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,DeepSeek,MSFT,MDD_pct,2.06,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,AMZN,CR_pct,-1.15,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,AMZN,SR,-1.14,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,AMZN,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,AMZN,MDD_pct,3.00,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,META,CR_pct,1.26,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,META,SR,0.12,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,META,HR_pct,40.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,META,MDD_pct,2.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,SPY,CR_pct,-1.15,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,SPY,SR,-1.82,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,SPY,HR_pct,36.4,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,DeepSeek,SPY,MDD_pct,2.00,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,NVDA,CR_pct,-2.97,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,NVDA,SR,-1.48,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,NVDA,HR_pct,46.9,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,NVDA,MDD_pct,5.33,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,AAPL,CR_pct,-1.89,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,AAPL,SR,-1.13,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,AAPL,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,AAPL,MDD_pct,3.72,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,MSFT,CR_pct,1.19,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,MSFT,SR,0.15,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,MSFT,HR_pct,47.4,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O3-mini,MSFT,MDD_pct,1.19,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,AMZN,CR_pct,-3.15,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,AMZN,SR,-1.37,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,AMZN,HR_pct,38.2,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,AMZN,MDD_pct,5.50,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,META,CR_pct,2.05,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,META,SR,0.53,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,META,HR_pct,73.1,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,META,MDD_pct,2.64,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,SPY,CR_pct,0.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,SPY,SR,-0.25,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,SPY,HR_pct,57.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O3-mini,SPY,MDD_pct,0.62,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,NVDA,CR_pct,-0.99,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,NVDA,SR,-0.83,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,NVDA,HR_pct,43.2,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,NVDA,MDD_pct,3.61,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,AAPL,CR_pct,-3.19,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,AAPL,SR,-1.36,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,AAPL,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,AAPL,MDD_pct,7.88,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,MSFT,CR_pct,-1.72,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,MSFT,SR,-1.77,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,MSFT,HR_pct,48.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,RLM,O4-mini,MSFT,MDD_pct,2.35,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,AMZN,CR_pct,-2.48,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,AMZN,SR,-1.28,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,AMZN,HR_pct,51.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,AMZN,MDD_pct,4.83,,not_reproduced_official_code_model_data_and_predictions_not_released,False
