paper_table,family_or_setting,method,metric,paper_value,source_recomputed_value,absolute_error,display_tolerance,status,evidence
5,Rule,ZMR,META_arr_pct,-0.98,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,ZMR,MSFT_arr_pct,8.53,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,ZMR,NVDA_arr_pct,35.01,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,ZMR,TSLA_arr_pct,16.74,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,ZMR,average_arr_pct,11.41,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,ZMR,average_sr,0.46,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Rule,ZMR,average_mdd_pct,20.86,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,GOOGL_arr_pct,-21.22,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,META_arr_pct,43.41,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,MSFT_arr_pct,43.15,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,NVDA_arr_pct,37.43,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,TSLA_arr_pct,-35.1,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,average_arr_pct,13.53,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,average_sr,0.51,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLA2C,average_mdd_pct,33.07,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,GOOGL_arr_pct,-19.77,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,META_arr_pct,50.34,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,MSFT_arr_pct,43.91,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,NVDA_arr_pct,18.56,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,TSLA_arr_pct,-31.94,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,average_arr_pct,12.22,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,average_sr,0.51,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,RL,FinRLPPO,average_mdd_pct,33.72,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,GOOGL_arr_pct,19.07,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,META_arr_pct,-12.61,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,MSFT_arr_pct,20.04,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,NVDA_arr_pct,38.19,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,TSLA_arr_pct,-17.66,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,average_arr_pct,9.41,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,average_sr,0.34,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LM,Chronos-2,average_mdd_pct,24.34,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,GOOGL_arr_pct,-22.41,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,META_arr_pct,46.25,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,MSFT_arr_pct,40.26,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,NVDA_arr_pct,26.71,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,TSLA_arr_pct,-22.28,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,average_arr_pct,13.71,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,average_sr,0.3,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,FinMem,average_mdd_pct,29.14,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,GOOGL_arr_pct,-14.95,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,META_arr_pct,29.69,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,MSFT_arr_pct,38.62,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,NVDA_arr_pct,-7.83,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,TSLA_arr_pct,36.92,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,average_arr_pct,16.49,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,average_sr,0.5,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,LLM,TradingAgents,average_mdd_pct,21.82,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,GOOGL_arr_pct,1.73,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,META_arr_pct,36.25,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,MSFT_arr_pct,40.89,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,NVDA_arr_pct,-3.28,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,TSLA_arr_pct,-76.98,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,average_arr_pct,-0.28,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,average_sr,-0.13,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-3B,average_mdd_pct,20.95,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,GOOGL_arr_pct,9.33,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,META_arr_pct,28.98,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,MSFT_arr_pct,-4.5,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,NVDA_arr_pct,-17.22,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,TSLA_arr_pct,-9.11,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,average_arr_pct,1.5,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,average_sr,-0.08,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen2.5-7B,average_mdd_pct,6.43,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,GOOGL_arr_pct,-18.09,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,META_arr_pct,1.36,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,MSFT_arr_pct,9.84,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,NVDA_arr_pct,10.22,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,TSLA_arr_pct,-16.51,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,average_arr_pct,-2.64,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,average_sr,0.06,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Qwen3-30B-A3B,average_mdd_pct,22.2,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,GOOGL_arr_pct,-12.43,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,META_arr_pct,-9.48,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,MSFT_arr_pct,14.13,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,NVDA_arr_pct,-24.02,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,TSLA_arr_pct,0.0,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,average_arr_pct,-6.36,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,average_sr,-0.26,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,DeepSeek-V3.1685B,average_mdd_pct,12.49,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,GOOGL_arr_pct,-23.4,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,META_arr_pct,-9.52,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,MSFT_arr_pct,12.6,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,NVDA_arr_pct,-8.33,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,TSLA_arr_pct,8.88,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,average_arr_pct,-3.95,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,average_sr,-0.11,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,Kimi-K21T,average_mdd_pct,26.62,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,GOOGL_arr_pct,-18.08,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,META_arr_pct,0.73,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,MSFT_arr_pct,16.27,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,NVDA_arr_pct,-5.38,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,TSLA_arr_pct,5.2,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,average_arr_pct,-0.25,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,average_sr,-0.06,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o-mini,average_mdd_pct,18.28,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,GOOGL_arr_pct,-14.95,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,META_arr_pct,29.69,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,MSFT_arr_pct,38.62,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,NVDA_arr_pct,-7.83,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,TSLA_arr_pct,36.92,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,average_arr_pct,16.49,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,average_sr,0.5,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Multi-Agent,GPT-4o,average_mdd_pct,21.82,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,GOOGL_arr_pct,3.06,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,META_arr_pct,23.08,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,MSFT_arr_pct,5.1,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,NVDA_arr_pct,-7.43,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,TSLA_arr_pct,-32.21,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,average_arr_pct,-1.68,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,average_sr,0.08,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-3B,average_mdd_pct,25.99,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,GOOGL_arr_pct,-22.42,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,META_arr_pct,35.5,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,MSFT_arr_pct,17.55,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,NVDA_arr_pct,1.47,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,TSLA_arr_pct,-9.63,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,average_arr_pct,4.49,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,average_sr,0.16,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen2.5-7B,average_mdd_pct,28.96,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,GOOGL_arr_pct,-26.33,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,META_arr_pct,32.86,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,MSFT_arr_pct,37.45,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,NVDA_arr_pct,29.61,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,TSLA_arr_pct,-46.41,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,average_arr_pct,5.44,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,average_sr,0.12,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Qwen3-30B-A3B,average_mdd_pct,30.08,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,GOOGL_arr_pct,-25.15,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,META_arr_pct,32.49,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,MSFT_arr_pct,25.45,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,NVDA_arr_pct,10.3,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,TSLA_arr_pct,-1.21,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,average_arr_pct,8.38,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,average_sr,0.24,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,DeepSeek-V3.1685B,average_mdd_pct,30.7,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,GOOGL_arr_pct,-40.48,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,META_arr_pct,25.83,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,MSFT_arr_pct,-3.39,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,NVDA_arr_pct,-3.27,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,TSLA_arr_pct,13.05,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,average_arr_pct,-1.65,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,average_sr,0.15,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,Kimi-K21T,average_mdd_pct,25.3,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,GPT-4o-mini,GOOGL_arr_pct,-24.02,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
5,Single-Agent w/o RL,GPT-4o-mini,META_arr_pct,44.42,,,,unverifiable_missing_native_action_or_result_path,paper_value_only_no_shipped_checkpoint_action_series_or_trial_output
