table_label,row_index,row_label,quantitative_column_index,printed_cell,unit_definition,source_document_recovered,raw_result_record_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
tab:fullperiod,5,Debate Agent,4,-9.40%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,5,Debate Agent,5,54.84%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,6,Inverse Volatility,1,6.68%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,6,Inverse Volatility,2,12.81%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,6,Inverse Volatility,3,0.52,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,6,Inverse Volatility,4,-9.54%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:fullperiod,6,Inverse Volatility,5,56.45%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:incremental,2,Hawkish Agent,1,+0.64%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:incremental,2,Hawkish Agent,2,+0.044,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:incremental,3,Dovish Agent,1,+0.51%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:incremental,3,Dovish Agent,2,+0.034,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:incremental,4,Debate Agent,1,+0.58%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:incremental,4,Debate Agent,2,+0.040,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:incremental,5,"Debate vs. avg(Hawkish, Dovish)",2,+0.001,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,2,Hawkish vs. Rule,1,+0.0415,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,2,Hawkish vs. Rule,2,0.067,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,2,Hawkish vs. Rule,3,"[-0.014,\; +0.092]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,3,Dovish vs. Rule,1,+0.0323,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,3,Dovish vs. Rule,2,0.134,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,3,Dovish vs. Rule,3,"[-0.025,\; +0.090]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,4,Debate vs. Rule,1,+0.0379,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,4,Debate vs. Rule,2,0.089,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,4,Debate vs. Rule,3,"[-0.017,\; +0.092]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,5,Debate vs. Hawkish,1,-0.0037,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,5,Debate vs. Hawkish,2,0.769,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,5,Debate vs. Hawkish,3,"[-0.013,\; +0.007]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,6,Debate vs. Dovish,1,+0.0056,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,6,Debate vs. Dovish,2,0.163,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,6,Debate vs. Dovish,3,"[-0.006,\; +0.016]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,7,Any LLM vs. Inv. Vol.,1,+0.0454,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,7,Any LLM vs. Inv. Vol.,2,0.262,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,7,Any LLM vs. Inv. Vol.,3,"[-0.101,\; +0.180]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,8,Rule vs. Inv. Vol.,1,+0.0075,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,8,Rule vs. Inv. Vol.,2,0.452,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,8,Rule vs. Inv. Vol.,3,"[-0.123,\; +0.130]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,9,Hawkish vs. Dovish,1,+0.0092,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,9,Hawkish vs. Dovish,2,0.183,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:bootstrap,9,Hawkish vs. Dovish,3,"[-0.012,\; +0.028]",one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,2,Rates Peak (2023),1,-1.46,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,2,Rates Peak (2023),2,-1.33,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,2,Rates Peak (2023),3,-1.32,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,2,Rates Peak (2023),4,-1.32,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,2,Rates Peak (2023),5,-1.30,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,3,Soft Landing (2024--25),1,0.84,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,3,Soft Landing (2024--25),2,0.86,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,3,Soft Landing (2024--25),3,0.85,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,3,Soft Landing (2024--25),4,0.86,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,3,Soft Landing (2024--25),5,0.80,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,4,Full Period,1,0.53,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,4,Full Period,2,0.57,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,4,Full Period,3,0.56,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,4,Full Period,4,0.57,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:subperiod,4,Full Period,5,0.52,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,2,Rule Agent (z-score),1,0.526,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,2,Rule Agent (z-score),2,0.520,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,2,Rule Agent (z-score),3,0.514,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,2,Rule Agent (z-score),4,0.503,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,2,Rule Agent (z-score),5,0.491,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,3,Hawkish Agent,1,0.571,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,3,Hawkish Agent,2,0.567,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,3,Hawkish Agent,3,0.562,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,3,Hawkish Agent,4,0.554,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,3,Hawkish Agent,5,0.546,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,4,Dovish Agent,1,0.561,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,4,Dovish Agent,2,0.556,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,4,Dovish Agent,3,0.550,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,4,Dovish Agent,4,0.540,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,4,Dovish Agent,5,0.530,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,5,Debate Agent,1,0.567,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,5,Debate Agent,2,0.562,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,5,Debate Agent,3,0.558,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,5,Debate Agent,4,0.549,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,5,Debate Agent,5,0.539,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,6,Inverse Volatility,1,0.521,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,6,Inverse Volatility,2,0.514,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,6,Inverse Volatility,3,0.508,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,6,Inverse Volatility,4,0.494,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:txcost,6,Inverse Volatility,5,0.481,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:riskprofile,3,Rule Agent,1,7.11%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:riskprofile,3,Rule Agent,2,0.53,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:riskprofile,3,Rule Agent,3,7.11%,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
tab:riskprofile,3,Rule Agent,4,0.53,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no public author pipeline, processed panel, generated contracts, exact data rows, immutable model snapshot, complete prompt/schema, raw returns/weights, bootstrap implementation/seed, or result generator; embedded figures also conflict with tables"
